id,Respondent.Race,White,Black,Jewish,Hispanic,Asian
1436,White,80,10,20,10,5
2666,White,75,15,5,5,5
2797,White,NA,NA,NA,NA,NA
104,Other,NA,NA,NA,NA,NA
2301,White,NA,NA,NA,NA,NA
1210,White,60,20,5,10,2
1094,White,68,20,5,15,1
1792,White,58,22,3,30,20
1620,White,70,25,NA,NA,NA
1055,White,NA,NA,NA,NA,NA
1359,White,NA,NA,NA,NA,NA
2755,White,60,30,NA,30,5
588,Other,NA,NA,NA,NA,NA
1899,White,NA,NA,NA,NA,NA
2579,White,NA,NA,NA,NA,NA
1451,White,NA,NA,NA,NA,NA
1545,White,NA,NA,NA,NA,NA
875,White,NA,NA,NA,NA,NA
1601,White,NA,NA,NA,NA,NA
2369,White,NA,NA,NA,NA,NA
51,White,NA,NA,NA,NA,NA
1235,White,NA,NA,NA,NA,NA
57,White,NA,NA,NA,NA,NA
2363,White,NA,NA,NA,NA,NA
2793,Black,NA,NA,NA,NA,NA
284,Black,50,10,10,5,10
469,Other,50,20,10,50,20
1903,White,70,20,2,2,2
650,White,70,35,NA,30,25
1647,Black,NA,NA,NA,NA,NA
1033,Black,50,20,5,15,5
2723,White,70,20,5,10,3
2669,White,60,50,15,30,5
2501,Black,NA,NA,NA,NA,NA
2177,White,30,40,20,30,20
2043,White,40,30,10,30,10
1373,Black,NA,NA,NA,NA,NA
2651,White,70,60,50,60,60
1084,White,NA,NA,NA,NA,NA
1669,White,60,35,20,25,20
352,Other,66,30,NA,20,NA
1411,Black,NA,NA,NA,NA,NA
1509,White,40,60,30,80,30
2273,White,20,10,20,30,20
1860,White,50,25,25,20,70
2262,White,NA,NA,NA,NA,NA
1467,White,40,20,30,30,20
2684,White,NA,NA,NA,NA,NA
1044,White,50,70,30,70,70
355,Other,85,75,30,50,50
827,Black,80,70,5,30,10
852,White,65,20,5,5,3
2518,White,30,60,10,20,10
1967,Black,70,20,5,10,10
1219,White,40,30,10,10,10
2706,White,60,30,10,20,10
1408,White,56,26,10,10,8
2521,Black,NA,NA,NA,NA,NA
451,Black,NA,NA,NA,NA,NA
162,White,80,80,50,70,50
1319,Black,NA,NA,NA,NA,NA
1477,White,75,40,20,15,30
1937,Black,NA,NA,NA,NA,NA
496,White,70,13,NA,13,7
216,White,40,40,20,50,40
1616,White,50,50,NA,NA,NA
1505,Black,NA,NA,NA,NA,NA
2544,White,50,30,10,30,30
2141,White,60,30,3,10,5
1182,White,75,45,50,20,20
1414,White,75,15,10,5,5
2093,Black,NA,NA,NA,NA,NA
2344,White,80,20,NA,NA,NA
1479,Black,NA,NA,NA,NA,NA
475,Black,NA,NA,NA,NA,NA
2427,White,60,30,10,10,10
1751,White,70,12,10,10,10
2335,Black,NA,NA,NA,NA,NA
1167,White,55,30,25,35,35
1901,Other,70,50,10,20,5
2198,White,NA,NA,NA,NA,NA
1064,White,NA,NA,NA,NA,NA
2798,White,80,20,10,15,10
1330,White,NA,NA,NA,NA,NA
1550,White,75,15,3,7,7
1705,Black,90,70,80,80,60
2789,Black,65,38,3,15,7
2538,White,NA,NA,NA,NA,NA
400,White,NA,NA,NA,NA,NA
2594,White,NA,NA,NA,NA,NA
1982,Black,80,20,NA,NA,NA
2760,White,65,25,5,10,10
296,White,NA,NA,NA,NA,NA
1106,White,NA,NA,NA,NA,NA
412,White,55,22,35,45,18
214,White,NA,NA,NA,NA,NA
1492,White,NA,NA,NA,NA,NA
1608,White,NA,NA,NA,NA,NA
840,White,NA,NA,NA,NA,NA
358,White,NA,NA,NA,NA,NA
1960,White,25,25,15,15,15
231,White,75,30,20,30,30
1354,White,NA,NA,NA,NA,NA
2612,White,NA,NA,NA,NA,NA
804,White,NA,NA,NA,NA,NA
2590,Other,50,25,20,35,15
2626,White,NA,NA,NA,NA,NA
81,Black,60,30,10,30,10
749,White,50,25,4,25,25
530,White,NA,NA,NA,NA,NA
2210,White,NA,NA,NA,NA,NA
2148,White,NA,NA,NA,NA,NA
2505,White,80,30,20,20,15
2204,White,NA,NA,NA,NA,NA
1652,White,NA,NA,NA,NA,NA
1442,White,NA,NA,NA,NA,NA
2000,White,65,15,10,17,8
540,White,60,30,20,30,15
252,White,NA,NA,NA,NA,NA
609,Other,NA,NA,NA,NA,NA
1231,White,60,40,20,25,20
2735,White,80,30,5,5,5
674,White,NA,NA,NA,NA,NA
113,Other,NA,NA,NA,NA,NA
571,Other,NA,NA,NA,NA,NA
970,White,NA,NA,NA,NA,NA
1968,White,NA,NA,NA,NA,NA
1862,White,50,50,20,5,10
1646,White,NA,NA,NA,NA,NA
456,White,NA,NA,NA,NA,NA
866,White,NA,NA,NA,NA,NA
2551,White,55,10,10,20,10
667,White,47,32,NA,30,10
199,Black,100,100,60,50,70
382,White,NA,NA,NA,NA,NA
2408,White,NA,NA,NA,NA,NA
2192,White,45,25,10,10,5
2688,White,NA,NA,NA,NA,NA
234,White,NA,NA,NA,NA,NA
1732,White,NA,NA,NA,NA,NA
2464,White,NA,NA,NA,NA,NA
1056,White,60,20,5,20,10
1572,White,NA,NA,NA,NA,NA
1472,White,NA,NA,NA,NA,NA
1326,White,50,10,10,20,5
426,White,NA,NA,NA,NA,NA
2674,White,NA,NA,NA,NA,NA
2172,White,NA,NA,NA,NA,NA
2718,White,50,30,5,30,20
1038,White,NA,NA,NA,NA,NA
1602,White,NA,NA,NA,NA,NA
364,White,NA,NA,NA,NA,NA
768,White,50,25,50,30,20
2650,White,NA,NA,NA,NA,NA
1175,White,60,15,5,19,10
2774,White,NA,NA,NA,NA,NA
1738,White,NA,NA,NA,NA,NA
1876,White,NA,NA,NA,NA,NA
2290,White,NA,NA,NA,NA,NA
1043,Other,NA,NA,NA,NA,NA
500,Black,60,50,60,50,50
170,White,60,35,25,25,30
1708,White,NA,NA,NA,NA,NA
2496,White,NA,NA,NA,NA,NA
222,White,75,20,5,20,15
1244,White,NA,NA,NA,NA,NA
1918,White,NA,NA,NA,NA,NA
948,Other,50,20,5,25,25
1114,White,NA,NA,NA,NA,NA
760,White,NA,NA,NA,NA,NA
790,White,NA,NA,NA,NA,NA
1924,White,NA,NA,NA,NA,NA
2434,White,NA,NA,NA,NA,NA
1791,Other,NA,NA,NA,NA,NA
822,White,65,40,NA,NA,NA
1150,White,NA,NA,NA,NA,NA
728,White,NA,NA,NA,NA,NA
816,White,50,80,NA,NA,NA
2170,White,35,40,10,10,5
2561,White,58,37,8,16,11
2059,White,60,60,70,60,40
1612,Black,NA,NA,NA,NA,NA
2351,White,35,25,10,10,10
80,Black,NA,NA,NA,NA,NA
521,White,25,30,10,40,25
2330,Black,NA,NA,NA,NA,NA
1996,Black,NA,NA,NA,NA,NA
541,White,60,30,20,30,10
2035,White,60,60,20,60,30
2167,White,40,20,10,20,20
1142,White,51,40,2,25,2
536,White,40,40,30,30,40
510,Black,25,25,10,25,2
2510,Black,NA,NA,NA,NA,NA
2233,White,50,20,5,10,5
362,White,60,20,2,30,8
629,Other,90,50,30,25,25
2088,Black,NA,NA,NA,NA,NA
1314,Black,NA,NA,NA,NA,NA
1498,White,50,30,5,20,15
2082,Black,60,30,30,20,15
2443,White,65,50,25,25,25
2407,White,NA,NA,NA,NA,NA
1090,White,50,40,40,50,40
58,White,40,20,10,20,10
640,White,30,30,20,30,30
356,White,35,35,10,15,5
764,White,60,20,25,12,15
2058,Black,NA,NA,NA,NA,NA
1521,White,NA,NA,NA,NA,NA
1349,White,60,8,6,20,8
1034,White,30,20,20,30,20
2646,White,50,50,40,20,20
255,White,65,15,5,10,7
776,White,50,30,NA,30,40
82,White,40,30,10,10,10
1323,White,30,35,20,35,10
56,Black,NA,NA,NA,NA,NA
2064,Black,NA,NA,NA,NA,NA
570,Black,NA,NA,NA,NA,NA
150,Black,33,45,30,35,20
1460,White,60,50,40,25,25
1178,Black,NA,NA,NA,NA,NA
1841,Black,50,50,NA,25,50
1048,Other,65,15,1,20,1
1274,White,70,20,40,15,15
2421,White,60,50,30,30,20
823,White,NA,NA,NA,NA,NA
985,White,NA,NA,NA,NA,NA
2019,Black,50,50,50,50,50
2305,White,NA,NA,NA,NA,NA
2467,White,NA,NA,NA,NA,NA
1147,White,NA,NA,NA,NA,NA
1728,White,60,20,5,15,25
205,White,NA,NA,NA,NA,NA
938,Other,NA,NA,NA,NA,NA
